"ID","Title","Assigned To","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"","","","","","","","","","","","","","","","","","","","Очистить поля. Ввести 20 символов в имя и фамилию.



Expected Result:
Поля корректно принимают 20 символов. Кнопка Продолжить активна.
 
","","Поля корректно принимают 20 символов. Кнопка Продолжить активна.
 
","","","Очистить поля. Ввести 20 символов в имя и фамилию.


","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить поля. Ввести цифры и/или специальные символы. 



Expected Result:
Отображается всплывающее сообщение """"данные некорректны"""". Кнопка Продолжить не активна.","","Отображается всплывающее сообщение ""данные некорректны"". Кнопка Продолжить не активна.","","","Очистить поля. Ввести цифры и/или специальные символы. 


","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить данные. Ввести имя и фамилию используя буквы русского и латинского алфавита  любого регистра в имени и фамилии. Ivaнов Rusлан. 
Expected Result:
Поля корректно принимают текст. Кнопка Продолжить активна.
 ","","Поля корректно принимают текст. Кнопка Продолжить активна.
 ","","","Очистить данные. Ввести имя и фамилию используя буквы русского и латинского алфавита  любого регистра в имени и фамилии. Ivaнов Rusлан. ","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать Продолжить
Expected Result:
Выполнен переход на шаг3. для ввода пароля.","","Выполнен переход на шаг3. для ввода пароля.","","","Нажать Продолжить","","","","","",""
"C12","Проверка ШАГА  3  формы ввода пароля при регистрации нового пользователя",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","
								 Установлено приложение Livelib. Пользователь НЕ зарегистрирован в приложении. Пройден шаг1: введен ник/email, шаг2 ввод имени и фамилии.
							","Critical","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для ввода пароля. 
Expected Result:
На форме поля для ввода пароля отображается
      плейсхолдер &laquo;пароль&raquo;
    &bull; Наличие кнопки в конце поля &laquo;показать/скрыть пароль&raquo;.
    &bull; Над полем с паролем отображается подсказка &laquo;Пароль должен быть не короче 8 символов&raquo;.
    &bull; Наличие не активной кнопки &laquo;Продолжить&raquo;","","На форме поля для ввода пароля отображается
      плейсхолдер &laquo;пароль&raquo;
    &bull; Наличие кнопки в конце поля &laquo;показать/скрыть пароль&raquo;.
    &bull; Над полем с паролем отображается подсказка &laquo;Пароль должен быть не короче 8 символов&raquo;.
    &bull; Наличие не активной кнопки &laquo;Продолжить&raquo;","","","Открыта форма для ввода пароля. ","Master","S1","Test Case (Steps)","Functional","Julia M","11/28/2024 5:39 PM"
"","","","","","","","","","","","","","","","","","","","Ввести пароль длиной 8 и более 8 символов: 
""""тестпароль"""". 
""""тесттест""""
1
""""abcdefghjk""""
1234abcd
4567_!qaz
1qaz2#EDC
123   456
123456789







Expected Result:
Пароль вводится в зашифрованном точками виде.
Кнопка """"Продолжить"""" активна.","","Пароль вводится в зашифрованном точками виде.
Кнопка ""Продолжить"" активна.","","","Ввести пароль длиной 8 и более 8 символов: 
""тестпароль"". 
""тесттест""
1
""abcdefghjk""
1234abcd
4567_!qaz
1qaz2#EDC
123   456
123456789






","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить данные. Ввести пароль 7 символов. 123asdf. Нажать кнопку """"показать пароль""""



Expected Result:

Пароль вводится в скрытом виде. После нажатия на кнопку """"показать пароль"""", отображаются введенные данные. Кнопка Продолжить не активна.","","
Пароль вводится в скрытом виде. После нажатия на кнопку ""показать пароль"", отображаются введенные данные. Кнопка Продолжить не активна.","","","Очистить данные. Ввести пароль 7 символов. 123asdf. Нажать кнопку ""показать пароль""


","","","","","",""
"","","","","","","","","","","","","","","","","","","","
Очистить данные. Ввести пароль длиной 21 символ. 



Expected Result:
Пароль принимается, кнопка """"Продолжить"""" активна.","","Пароль принимается, кнопка ""Продолжить"" активна.","","","
Очистить данные. Ввести пароль длиной 21 символ. 


","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать кнопку Продолжить.
Expected Result:
Переход на шаг 4 . Открыта форма для ввода даты рождения.","","Переход на шаг 4 . Открыта форма для ввода даты рождения.","","","Нажать кнопку Продолжить.","","","","","",""
"C13","Проверка ШАГА  4-6  формы ввода  при регистрации нового пользователя",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","
								 Установлено приложение Livelib. Пользователь НЕ зарегистрирован в приложении. Пройден шаг1-3: введен ник/email, имени и фамилии, пароля
							","Critical","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма ввода даты рождения.
Expected Result:
На форме 4 отображаются Поля для ввода числа, месяца и года рождения. 
Дата по умолчанию : ткущие число и месяц 2008 года.
минимальное значение для числа 1 максимальное 31
для месяца : мин:январь, макс: декабрь
для года мин 1925 макс 2008
значения в полях отсортированы по возрастанию.
Выбор значений производится из выплывающего списка путем нажатия на на поле для каждого из полей.","","На форме 4 отображаются Поля для ввода числа, месяца и года рождения. 
Дата по умолчанию : ткущие число и месяц 2008 года.
минимальное значение для числа 1 максимальное 31
для месяца : мин:январь, макс: декабрь
для года мин 1925 макс 2008
значения в полях отсортированы по возрастанию.
Выбор значений производится из выплывающего списка путем нажатия на на поле для каждого из полей.","","","Открыта форма ввода даты рождения.","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/25/2024 7:38 PM"
"","","","","","","","","","","","","","","","","","","","Выбрать дату рождения из раскрывающегося списка.
01 января 2008
01 февраля 2024
31 марта 1925
Expected Result:
 Поля корректно отображают выбранную дату. Кнопка Продолжить Активна.",""," Поля корректно отображают выбранную дату. Кнопка Продолжить Активна.","","","Выбрать дату рождения из раскрывающегося списка.
01 января 2008
01 февраля 2024
31 марта 1925","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать кнопку Продолжить
Expected Result:
Переход на шаг5 для выбора пола. Открыта форма для выбора пола.
На поле отображены радиокнопки для выбора пола. По умолчанию пусты. Кнопка продолжить не активна.","","Переход на шаг5 для выбора пола. Открыта форма для выбора пола.
На поле отображены радиокнопки для выбора пола. По умолчанию пусты. Кнопка продолжить не активна.","","","Нажать кнопку Продолжить","","","","","",""
"","","","","","","","","","","","","","","","","","","","Выбрать одно из предложенных значений пола (мужской или женский).




Expected Result:
Допускается выбор одного из двух значений. Кнопка Продолжить активна.

","","Допускается выбор одного из двух значений. Кнопка Продолжить активна.

","","","Выбрать одно из предложенных значений пола (мужской или женский).



","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать кнопку продолжить 
Expected Result:

Переход на шаг 6 завершения регистрации. Открыта форма с информационным текстом для пользователя о возможностях приложения. Кнопка Завершить активна.

","","
Переход на шаг 6 завершения регистрации. Открыта форма с информационным текстом для пользователя о возможностях приложения. Кнопка Завершить активна.

","","","Нажать кнопку продолжить ","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать кнопку Завершить






Expected Result:
Регистрация успешно завершена, пользователь перенаправлен на главную страницу сайта. Пользователю отправлено уведомление на емэйл об успешной регистрации.","","Регистрация успешно завершена, пользователь перенаправлен на главную страницу сайта. Пользователю отправлено уведомление на емэйл об успешной регистрации.","","","Нажать кнопку Завершить





","","","","","",""
"C14","Авторизация пользователя в приложении LiveLib с корректным e-mail",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","
								 Установлено приложение. Выполнена регистрация пользователя в системе.
e-mail : rosamimosa2024@mail.ru
пароль : 1qaz@WSX
							","Critical","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для входа в аккаунт приложения.





Expected Result:
       Поле """"Email/Никнейм"""":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.

        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","       Поле ""Email/Никнейм"":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.

        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","","Открыта форма для входа в аккаунт приложения.




","Master","S1","Test Case (Steps)","Functional","Julia M","11/27/2024 6:11 PM"
"","","","","","","","","","","","","","","","","","","","Ввести корректный email-адрес НЕ существующего пользователя в системе. 
rosamimosa@mail.ru и нажать Продолжить.



Expected Result:
кнопка Продолжить активна. После нажатия открывается шаг2 формы для регистрации нового пользователя для ввода фамилии и имени.","","кнопка Продолжить активна. После нажатия открывается шаг2 формы для регистрации нового пользователя для ввода фамилии и имени.","","","Ввести корректный email-адрес НЕ существующего пользователя в системе. 
rosamimosa@mail.ru и нажать Продолжить.


","","","","","",""
"","","","","","","","","","","","","","","","","","","","Вернуться назад на страницу авторизации. Очистить данные. Ввести корректный email-адрес зарегистрированного ранее пользователя в системе. 

rosamimosa2024@mail.ru и нажать Продолжить.



Expected Result:
Выполнен переход на шаг2 для ввода пароля зарегистрированного пользователя.
Поле """"Пароль"""" является обязательным для заполнения, иначе кнопка Войти не активна.
В поле отображается плейсхолдер &laquo;Ввести пароль&raquo;.
Поле """"Пароль"""" поддерживает отображение и скрытие символов пароля.
Отображается ссылка &laquo;Забыли пароль?&raquo; для перехода на страницу восстановления пароля.
Наличие кнопки Войти. При пустом поле кнопка не активна.","","Выполнен переход на шаг2 для ввода пароля зарегистрированного пользователя.
Поле ""Пароль"" является обязательным для заполнения, иначе кнопка Войти не активна.
В поле отображается плейсхолдер &laquo;Ввести пароль&raquo;.
Поле ""Пароль"" поддерживает отображение и скрытие символов пароля.
Отображается ссылка &laquo;Забыли пароль?&raquo; для перехода на страницу восстановления пароля.
Наличие кнопки Войти. При пустом поле кнопка не активна.","","","Вернуться назад на страницу авторизации. Очистить данные. Ввести корректный email-адрес зарегистрированного ранее пользователя в системе. 

rosamimosa2024@mail.ru и нажать Продолжить.


","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ввести неверный пароль 55441122 и нажать кнопку &laquo;Войти&raquo;. 




Expected Result:
Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","","Ввести неверный пароль 55441122 и нажать кнопку &laquo;Войти&raquo;. 



","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить данные. Ввести старый пароль пользователя.
qwerasdf12



Expected Result:
Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","","Очистить данные. Ввести старый пароль пользователя.
qwerasdf12


","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить данные.

Ввести действующий пароль пользователя 
e-mail : rosamimosa2024@mail.ru
пароль : 1qaz@WSX






Expected Result:
Успешно выполнен вход. Загружена главная страница приложения.","","Успешно выполнен вход. Загружена главная страница приложения.","","","Очистить данные.

Ввести действующий пароль пользователя 
e-mail : rosamimosa2024@mail.ru
пароль : 1qaz@WSX





","","","","","",""
"C15","Авторизация с существующим в системе ником пользователя , зарегистрированным на сайте/в приложении",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","Установлено приложение. Выполнена регистрация пользователя в системе через приложение вконтакте. 
ник : RosaMimosa24
пароль 1qaz@WSX","High","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для входа в приложение.
Expected Result:
Поле """"Email/Никнейм"""":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.
        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","Поле ""Email/Никнейм"":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.
        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","","Открыта форма для входа в приложение.","Master","S1","Test Case (Steps)","Functional","Julia M","11/28/2024 5:46 PM"
"","","","","","","","","","","","","","","","","","","","Ввести ник RosaMimosa24 и нажать &laquo;Продолжить&raquo;.
Expected Result:
Выполнен переход на шаг2 для ввода пароля зарегистрированного пользователя.
Поле """"Пароль"""" является обязательным для заполнения, иначе кнопка Войти не активна.
В поле отображается плейсхолдер &laquo;Ввести пароль&raquo;.
Поле """"Пароль"""" поддерживает отображение и скрытие символов пароля.
Отображается ссылка &laquo;Забыли пароль?&raquo; для перехода на страницу восстановления пароля.
Наличие кнопки Войти. При пустом поле кнопка не активна.","","Выполнен переход на шаг2 для ввода пароля зарегистрированного пользователя.
Поле ""Пароль"" является обязательным для заполнения, иначе кнопка Войти не активна.
В поле отображается плейсхолдер &laquo;Ввести пароль&raquo;.
Поле ""Пароль"" поддерживает отображение и скрытие символов пароля.
Отображается ссылка &laquo;Забыли пароль?&raquo; для перехода на страницу восстановления пароля.
Наличие кнопки Войти. При пустом поле кнопка не активна.","","","Ввести ник RosaMimosa24 и нажать &laquo;Продолжить&raquo;.","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ввести неверный пароль 55441122 и нажать кнопку &laquo;Войти&raquo;.
Expected Result:
Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","","Ввести неверный пароль 55441122 и нажать кнопку &laquo;Войти&raquo;.","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить данные. Ввести старый пароль пользователя.
qwerasdf12
Expected Result:
Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","Отображается всплывающее сообщение &laquo;Неверный пароль. Повторите попытку или нажмите на ссылку &laquo;Забыли пароль&raquo;.","","","Очистить данные. Ввести старый пароль пользователя.
qwerasdf12","","","","","",""
"","","","","","","","","","","","","","","","","","","","Очистить данные.

Ввести действующий пароль пользователя. Проверить работу кнопки """"показать/скрыть"""" пароль.
ник : RosaMimosa24
пароль : 1qaz@WSX
Expected Result:
При включенной кнопке Скрыть пароль - пароль не отображается, скрыт под символами точек.
При включенной кнопке Показать пароль, пароль отображается.

Успешно выполнен вход. Загружена главная страница приложения.","","При включенной кнопке Скрыть пароль - пароль не отображается, скрыт под символами точек.
При включенной кнопке Показать пароль, пароль отображается.

Успешно выполнен вход. Загружена главная страница приложения.","","","Очистить данные.

Ввести действующий пароль пользователя. Проверить работу кнопки ""показать/скрыть"" пароль.
ник : RosaMimosa24
пароль : 1qaz@WSX","","","","","",""
"C16","Авторизация пользователя в приложении LiveLib через сторонние приложения: Vkontakte",""," None","Hanna Belri","11/25/2024 7:38 PM","","","","","","
								 Установлено приложение. Выполнена регистрация пользователя в системе.
e-mail : rosamimosa2024@mail.ru
пароль : 1qaz@WSX
							","High","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для входа в приложение.
Expected Result:
Поле """"Email/Никнейм"""":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.

    ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
    ◦ Наличие рабочей ссылки на условия обслуживания.
    ◦ Кнопка &laquo;Продолжить&raquo;","","Поле ""Email/Никнейм"":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.

    ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
    ◦ Наличие рабочей ссылки на условия обслуживания.
    ◦ Кнопка &laquo;Продолжить&raquo;","","","Открыта форма для входа в приложение.","Master","S1","Test Case (Steps)","Functional","Hanna Belri","11/25/2024 7:38 PM"
"","","","","","","","","","","","","","","","","","","","Нажать на ярлык VK для входа через приложение Вконтакте.
Expected Result:
Открыта страница для выбора аккаунта приложения вконтакте.

","","Открыта страница для выбора аккаунта приложения вконтакте.

","","","Нажать на ярлык VK для входа через приложение Вконтакте.","","","","","",""
"","","","","","","","","","","","","","","","","","","","Нажать кнопку Войти в аккаунт
Expected Result:
Перенаправление на страницу входа в аккаунт для ввода данных","","Перенаправление на страницу входа в аккаунт для ввода данных","","","Нажать кнопку Войти в аккаунт","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ввести данные для входа в приложение Вконтакте
e-mail : rosamimosa2024@mail.ru
пароль : 1qaz@WSX
и Нажать кнопку Продолжить.
Expected Result:
Открыта главная страница приложения. Данные автоматически сохранены для последующих входов.","","Открыта главная страница приложения. Данные автоматически сохранены для последующих входов.","","","Ввести данные для входа в приложение Вконтакте
e-mail : rosamimosa2024@mail.ru
пароль : 1qaz@WSX
и Нажать кнопку Продолжить.","","","","","",""
"C26","Авторизация пользователя в приложении LiveLib с некорректным e-mail",""," None","Julia M","11/27/2024 6:09 PM","","","","","","Установлено приложение. Выполнена регистрация пользователя в системе.
e-mail : rosamimosa444@nomail.nomail
пароль : 1qaz@WSX","Medium","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для входа в аккаунт.
Expected Result:
Поле """"Email/Никнейм"""":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.

    ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
    ◦ Наличие рабочей ссылки на условия обслуживания.
    ◦ Кнопка &laquo;Продолжить&raquo;","","Поле ""Email/Никнейм"":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.

    ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
    ◦ Наличие рабочей ссылки на условия обслуживания.
    ◦ Кнопка &laquo;Продолжить&raquo;","","","Открыта форма для входа в аккаунт.","Master","S1","Test Case (Steps)","Functional","Julia M","11/27/2024 6:18 PM"
"","","","","","","","","","","","","","","","","","","","Ввести несуществующий некорректный email-адрес
rosamimosa444@nomail.nomail и нажать Продолжить.
Expected Result:
Отображается всплывающее сообщение &laquo;Некорректный email&raquo;. Кнопка Продолжить не активна.","","Отображается всплывающее сообщение &laquo;Некорректный email&raquo;. Кнопка Продолжить не активна.","","","Ввести несуществующий некорректный email-адрес
rosamimosa444@nomail.nomail и нажать Продолжить.","","","","","",""
"C27","Авторизация с несуществующим в системе ником пользователя",""," None","Julia M","11/27/2024 6:28 PM","","","","","","Установлено приложение. Выполнена регистрация пользователя в системе.
ник : Rosa77Mimo14sa2441","Medium","","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","0","чек-лист регистрации нового пользователя
чек-лист авторизации пользователя во вложениях","Юлия: Регистрация и авторизация нового пользователя в мобильном приложении LiveLib","","Открыта форма для входа в приложение.
Expected Result:
Поле """"Email/Никнейм"""":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.
        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","Поле ""Email/Никнейм"":
        ◦ Должно быть обязательным для заполнения.
        ◦ Должно содержать плейсхолдер &laquo;Введите e-mail или никнейм&raquo;.
        ◦ Наличие ярлыков для входа через сторонние приложения: Vkontakte, Ok, mail.ru.
        ◦ Наличие рабочей ссылки на условия обслуживания.
        ◦ Кнопка &laquo;Продолжить&raquo;","","","Открыта форма для входа в приложение.","Master","S1","Test Case (Steps)","Functional","Julia M","11/28/2024 5:42 PM"
